isbn,likes,rating,title,user_id,user_name,author,mean_rating,num_ratings,num_reviews
0399562451,10,4,Still Me,2573432,Gina *loves sunshine*,Jojo Moyes,4.17,96193,9442
0399562451,10,3,Still Me,6450088,Tania,Jojo Moyes,4.17,96193,9442
0399562451,9,4,Still Me,7002034,debra,Jojo Moyes,4.17,96193,9442
0399562451,7,5,Still Me,15115378,Cassidy (Cassidys.Bookshelf),Jojo Moyes,4.17,96193,9442
0399562451,7,4,Still Me,15295977,Miranda (MrsLeif's Two Fangs About It),Jojo Moyes,4.17,96193,9442
0399562451,8,4,Still Me,20608600,Laura,Jojo Moyes,4.17,96193,9442
0399562451,11,4,Still Me,1864653,Rae,Jojo Moyes,4.17,96193,9442
0399562451,6,3,Still Me,5443283,Wybredna,Jojo Moyes,4.17,96193,9442
0399562451,7,4,Still Me,661523,Linda,Jojo Moyes,4.17,96193,9442
0399562451,6,4,Still Me,31167656,Bookworm,Jojo Moyes,4.17,96193,9442
0399562451,6,3,Still Me,57080027,Karla,Jojo Moyes,4.17,96193,9442
0399562451,6,4,Still Me,5289134,Laurie • The Baking Bookworm,Jojo Moyes,4.17,96193,9442
0399562451,7,5,Still Me,36234199,Dora,Jojo Moyes,4.17,96193,9442
0399562451,6,4,Still Me,5299664,DeAnn,Jojo Moyes,4.17,96193,9442
0399562451,7,4,Still Me,5338290,RoseMary Achey,Jojo Moyes,4.17,96193,9442
0399562451,6,4,Still Me,3173207,Kristen Beverly,Jojo Moyes,4.17,96193,9442
0399562451,6,5,Still Me,25774455,Samantha (WLABB),Jojo Moyes,4.17,96193,9442
0399562451,6,5,Still Me,201185,Stephanie,Jojo Moyes,4.17,96193,9442
0399562451,6,5,Still Me,5033175,Hildy,Jojo Moyes,4.17,96193,9442
0399562451,5,5,Still Me,25352638,Theresa Smith,Jojo Moyes,4.17,96193,9442
0399562451,5,4,Still Me,5400141,Olga Kowalska (WielkiBuk),Jojo Moyes,4.17,96193,9442
0399562451,5,5,Still Me,46710254,Scarlett,Jojo Moyes,4.17,96193,9442
0399562451,5,4,Still Me,1152675,Célia | Estante de Livros,Jojo Moyes,4.17,96193,9442
0399562451,6,4,Still Me,68209522,Ana Dumitrache,Jojo Moyes,4.17,96193,9442
0399562451,5,5,Still Me,1132408,Meg - A Bookish Affair,Jojo Moyes,4.17,96193,9442
0399562451,5,3,Still Me,3340687,Dana Blazsek,Jojo Moyes,4.17,96193,9442
0399562451,5,3,Still Me,5242679,Brooke,Jojo Moyes,4.17,96193,9442
0399562451,5,3,Still Me,3614628,Andi (A Literal Hottie),Jojo Moyes,4.17,96193,9442
0399562451,5,5,Still Me,12234709,Kate,Jojo Moyes,4.17,96193,9442
0399562451,6,4,Still Me,20229277,Alissa Patrick,Jojo Moyes,4.17,96193,9442
0399562451,5,4,Still Me,62695678,Ashley,Jojo Moyes,4.17,96193,9442
0399562451,5,4,Still Me,27117435,Andrea,Jojo Moyes,4.17,96193,9442
0399562451,5,4,Still Me,4845136,Ramona,Jojo Moyes,4.17,96193,9442
0399562451,5,4,Still Me,17834354,Marina,Jojo Moyes,4.17,96193,9442
0399562451,4,4,Still Me,43448534,Hannah Bierwirth,Jojo Moyes,4.17,96193,9442
0399562451,4,2,Still Me,16412589,Carol (Reading Ladies),Jojo Moyes,4.17,96193,9442
0399562451,4,4,Still Me,31468388,Sabina (Whatsername_reads),Jojo Moyes,4.17,96193,9442
0399562451,4,5,Still Me,26652749,Jennifer Jimenez,Jojo Moyes,4.17,96193,9442
0399562451,5,5,Still Me,16907451,Erin Clemence,Jojo Moyes,4.17,96193,9442
0399562451,6,4,Still Me,1746727,Arlene,Jojo Moyes,4.17,96193,9442
0399562451,4,3,Still Me,1544522,Linda Lipko,Jojo Moyes,4.17,96193,9442
0399562451,4,4,Still Me,9501896,Jen,Jojo Moyes,4.17,96193,9442
0399562451,4,4,Still Me,12691311,Debbie,Jojo Moyes,4.17,96193,9442
0399562451,5,4,Still Me,71306758,Danielle,Jojo Moyes,4.17,96193,9442
0399562451,5,4,Still Me,27298436,Toni,Jojo Moyes,4.17,96193,9442
0399562451,4,4,Still Me,45952189,Never Without a Book™,Jojo Moyes,4.17,96193,9442
1616201347,941,5,An American Marriage,4622890,Emily May,Tayari Jones,3.98,134415,13895
1616201347,601,4,An American Marriage,30978160,Meredith,Tayari Jones,3.98,134415,13895
1616201347,504,2,An American Marriage,62695678,Ashley,Tayari Jones,3.98,134415,13895
1616201347,351,5,An American Marriage,42130592,شيماء ✨,Tayari Jones,3.98,134415,13895
1616201347,264,5,An American Marriage,5872506,Larry H,Tayari Jones,3.98,134415,13895
1616201347,242,5,An American Marriage,597461,Elyse Walters,Tayari Jones,3.98,134415,13895
1616201347,222,4,An American Marriage,5210022,Julie,Tayari Jones,3.98,134415,13895
1616201347,205,5,An American Marriage,36348070,Brandice,Tayari Jones,3.98,134415,13895
1616201347,181,3,An American Marriage,260116,JanB,Tayari Jones,3.98,134415,13895
1616201347,170,4,An American Marriage,4159922,Diane S ☔,Tayari Jones,3.98,134415,13895
1616201347,177,5,An American Marriage,8665845,Debbie,Tayari Jones,3.98,134415,13895
