isbn,likes,rating,title,user_id,user_name
0399562451,7,4,Still Me,661523,Linda
0399562451,6,4,Still Me,31167656,Bookworm
0399562451,6,5,Still Me,47733125,Von.Wörtern.gefesselt
0399562451,6,5,Still Me,44788710,Katerina
0399562451,6,5,Still Me,2710615,♥Lynn ♥
0399562451,6,3,Still Me,57080027,Karla
0399562451,6,5,Still Me,6024557,Katy Noyes
0399562451,6,4,Still Me,5289134,Laurie • The Baking Bookworm
0399562451,7,5,Still Me,5079976,Ariel
0399562451,7,5,Still Me,36234199,Dora
0399562451,6,4,Still Me,5299664,DeAnn
0399562451,7,2,Still Me,54354840,S. Umar
0399562451,6,5,Still Me,20038488,Nina Draganova
0399562451,6,5,Still Me,6683614,Jenna
0399562451,8,5,Still Me,8788453,Denise
0399562451,6,3,Still Me,34570157,Jenny Jo Weir
0399562451,7,4,Still Me,5338290,RoseMary Achey
0399562451,6,3,Still Me,55832049,imts
0399562451,6,4,Still Me,18157546,Lisa Miller
0399562451,6,4,Still Me,3173207,Kristen Beverly
0399562451,6,5,Still Me,25774455,Samantha (WLABB)
0399562451,6,5,Still Me,201185,Stephanie
0399562451,7,1,Still Me,53968639,✿Nancy✿
0399562451,6,5,Still Me,5033175,Hildy
0399562451,11,4,Still Me,16009866,Liesa
0399562451,5,4,Still Me,32882183,Ari
0399562451,6,5,Still Me,56253265,Valerie
0399562451,5,4,Still Me,3138971,Kathleen
0399562451,5,4,Still Me,59114370,Gemma Diaz
0399562451,5,5,Still Me,25352638,Theresa Smith
0399562451,6,4,Still Me,68256000,Yaneth Torres
0399562451,5,5,Still Me,64665595,Rachel He
0399562451,6,5,Still Me,40540069,Tsippora
0399562451,5,4,Still Me,30265871,Hope Ortego
0399562451,5,4,Still Me,5400141,Olga Kowalska (WielkiBuk)
0399562451,5,5,Still Me,64375836,Peri June
0399562451,5,5,Still Me,44511678,Angie
0399562451,5,5,Still Me,30687177,Vanessa Loockx
0399562451,5,4,Still Me,14590299,Jayrielle
0399562451,5,4,Still Me,69053090,Iris
0399562451,5,5,Still Me,17646888,Bethany Clark
0399562451,5,5,Still Me,46710254,Scarlett
0399562451,5,5,Still Me,63753159,Darque Dreamer
0399562451,5,4,Still Me,1152675,Célia | Estante de Livros
0399562451,5,4,Still Me,20940446,Dianne
0399562451,6,4,Still Me,68209522,Ana Dumitrache
0399562451,5,5,Still Me,1132408,Meg - A Bookish Affair
0399562451,5,3,Still Me,3340687,Dana Blazsek
0399562451,5,4,Still Me,9969025,Sarah
0399562451,5,3,Still Me,5242679,Brooke
0399562451,5,4,Still Me,7218457,Vivian
0399562451,5,3,Still Me,3614628,Andi (A Literal Hottie)
0399562451,5,5,Still Me,67999632,A.BookNerd.Bookseller&Bibliophile.Blog
0399562451,5,4,Still Me,5833393,Katie
0399562451,5,5,Still Me,12234709,Kate
0399562451,6,4,Still Me,20229277,Alissa Patrick
0399562451,5,4,Still Me,62695678,Ashley
0399562451,5,5,Still Me,32255643,Bárbara
0399562451,5,5,Still Me,1383279,Wendy T
0399562451,5,4,Still Me,27117435,Andrea
0399562451,4,4,Still Me,38750886,Jenny
0399562451,4,4,Still Me,3808873,Heather C
0399562451,4,5,Still Me,45313785,Sara
