,author,mean_rating,num_ratings,num_reviews,title,url
187,Alma Katsu,3.65,"6,860 ratings","1,277 reviews",The Hunger,https://www.goodreads.com/book/show/30285766-the-hunger?from_choice=true
188,Grady Hendrix,3.96,"2,951 ratings",695 reviews,We Sold Our Souls,https://www.goodreads.com/book/show/39790706-we-sold-our-souls?from_choice=true
189,Stephen King,3.53,"2,233 ratings",412 reviews,Flight or Fright: 17 Turbulent Tales,https://www.goodreads.com/book/show/39217966-flight-or-fright?from_choice=true
190,Michael Rutger,3.81,"5,299 ratings",978 reviews,The Anomaly,https://www.goodreads.com/book/show/36342156-the-anomaly?from_choice=true
191,Mallory Ortberg,3.36,"4,050 ratings",815 reviews,The Merry Spinster: Tales of Everyday Horror,https://www.goodreads.com/book/show/35035160-the-merry-spinster?from_choice=true
192,Iain Reid,3.68,"3,976 ratings",940 reviews,Foe,https://www.goodreads.com/book/show/37510662-foe?from_choice=true
193,Darcy Coates,4.10,"2,428 ratings",325 reviews,The Carrow Haunt,https://www.goodreads.com/book/show/39707880-the-carrow-haunt?from_choice=true
194,Dot Hutchison,4.31,"9,638 ratings",795 reviews,The Summer Children,https://www.goodreads.com/book/show/35655156-the-summer-children?from_choice=true
195,Jonathan Janz,4.04,463 ratings,211 reviews,The Siren and the Specter,https://www.goodreads.com/book/show/38608066-the-siren-and-the-specter?from_choice=true
196,Peter Meredith,4.25,715 ratings,89 reviews,Generation Z,https://www.goodreads.com/book/show/38392331-generation-z?from_choice=true
197,Ezekiel Boone,3.69,"1,288 ratings",278 reviews,Zero Day,https://www.goodreads.com/book/show/35297544-zero-day?from_choice=true
198,Ellen Datlow,3.57,299 ratings,62 reviews,The Devil and the Deep,https://www.goodreads.com/book/show/36049101-the-devil-and-the-deep?from_choice=true
199,Charles Stross,4.18,"2,196 ratings",185 reviews,The Labyrinth Index,https://www.goodreads.com/book/show/36694914-the-labyrinth-index?from_choice=true
200,Tiffany Haddish,3.90,"34,980 ratings","4,884 reviews",The Last Black Unicorn,https://www.goodreads.com/book/show/34974310-the-last-black-unicorn?from_choice=true
201,David Sedaris,4.20,"45,892 ratings","5,465 reviews",Calypso,https://www.goodreads.com/book/show/36341620-calypso?from_choice=true
202,Megan Mullally,3.67,"8,730 ratings","1,523 reviews",The Greatest Love Story Ever Told,https://www.goodreads.com/book/show/38919266-the-greatest-love-story-ever-told?from_choice=true
203,Busy Philipps,3.96,"13,494 ratings","1,565 reviews",This Will Only Hurt a Little,https://www.goodreads.com/book/show/40598936-this-will-only-hurt-a-little?from_choice=true
204,Andrew Shaffer,3.54,"7,063 ratings","1,944 reviews",Hope Never Dies,https://www.goodreads.com/book/show/36875820-hope-never-dies?from_choice=true
205,Retta,3.88,"4,419 ratings",836 reviews,"So Close to Being the Sh*t, Y’all Don’t Even Know",https://www.goodreads.com/book/show/36467874-so-close-to-being-the-sh-t-y-all-don-t-even-know?from_choice=true
206,Phoebe Robinson,3.93,"3,353 ratings",445 reviews,"Everything's Trash, But It's Okay",https://www.goodreads.com/book/show/38649805-everything-s-trash-but-it-s-okay?from_choice=true
207,Lisa Scottoline,3.89,"1,003 ratings",256 reviews,I See Life Through Rosé-Colored Glasses,https://www.goodreads.com/book/show/36261280-i-see-life-through-ros--colored-glasses?from_choice=true
208,Jimmy O. Yang,3.97,"2,554 ratings",342 reviews,How to American: An Immigrant's Guide to Disappointing Your Parents,https://www.goodreads.com/book/show/35959613-how-to-american?from_choice=true
209,D.L. Hughley,4.03,"1,543 ratings",290 reviews,How Not to Get Shot: And Other Advice From White People,https://www.goodreads.com/book/show/40170039-how-not-to-get-shot?from_choice=true
210,Ellie Kemper,3.38,"6,089 ratings",864 reviews,My Squirrel Days,https://www.goodreads.com/book/show/38532145-my-squirrel-days?from_choice=true
211,Eric Idle,3.86,"3,208 ratings",648 reviews,Always Look on the Bright Side of Life: A Sortabiography,https://www.goodreads.com/book/show/39022876-always-look-on-the-bright-side-of-life?from_choice=true
212,Guy Branum,4.07,"1,936 ratings",294 reviews,My Life as a Goddess: A Memoir through (Un)Popular Culture,https://www.goodreads.com/book/show/36373406-my-life-as-a-goddess?from_choice=true
213,Mike Reiss,3.92,"1,575 ratings",238 reviews,"Springfield Confidential: Jokes, Secrets, and Outright Lies from a Lifetime Writing for The Simpsons",https://www.goodreads.com/book/show/36220700-springfield-confidential?from_choice=true
214,Nell Scovell,3.96,"2,302 ratings",352 reviews,Just the Funny Parts: ... And a Few Hard Truths About Sneaking Into the Hollywood Boys' Club,https://www.goodreads.com/book/show/30531870-just-the-funny-parts?from_choice=true
215,Simon Rich,3.83,"1,015 ratings",152 reviews,Hits and Misses,https://www.goodreads.com/book/show/36546633-hits-and-misses?from_choice=true
216,Sloane Crosley,3.75,"4,351 ratings",465 reviews,Look Alive Out There,https://www.goodreads.com/book/show/35259574-look-alive-out-there?from_choice=true
217,Tom Papa,3.73,508 ratings,102 reviews,Your Dad Stole My Rake: And Other Family Dilemmas,https://www.goodreads.com/book/show/36742998-your-dad-stole-my-rake?from_choice=true
218,Erin Gibson,4.13,"1,934 ratings",279 reviews,Feminasty: The Complicated Woman's Guide to Surviving the Patriarchy Without Drinking Herself to Death,https://www.goodreads.com/book/show/37954228-feminasty?from_choice=true
219,Maeve Higgins,3.57,"1,210 ratings",192 reviews,Maeve in America: Essays by a Girl from Somewhere Else,https://www.goodreads.com/book/show/36906099-maeve-in-america?from_choice=true
220,Michelle McNamara,4.18,"88,020 ratings","9,906 reviews",I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,https://www.goodreads.com/book/show/35271190-i-ll-be-gone-in-the-dark?from_choice=true
221,Rachel Hollis,3.81,"95,273 ratings","11,432 reviews","Girl, Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be",https://www.goodreads.com/book/show/35754629-girl-wash-your-face?from_choice=true
222,Bob Woodward,3.92,"38,281 ratings","5,712 reviews",Fear: Trump in the White House,https://www.goodreads.com/book/show/41012533-fear?from_choice=true
223,Reese Witherspoon,3.64,"13,526 ratings","1,868 reviews","Whiskey in a Teacup: What Growing Up in the South Taught Me About Life, Love, & Baking Biscuits",https://www.goodreads.com/book/show/40009804-whiskey-in-a-teacup?from_choice=true
224,Susan Orlean,4.01,"30,205 ratings","6,248 reviews",The Library Book,https://www.goodreads.com/book/show/39507318-the-library-book?from_choice=true
225,Yuval Noah Harari,4.21,"30,419 ratings","3,015 reviews",21 Lessons for the 21st Century,https://www.goodreads.com/book/show/38820046-21-lessons-for-the-21st-century?from_choice=true
226,Roxane Gay,4.51,"7,827 ratings","1,271 reviews",Not That Bad: Dispatches from Rape Culture,https://www.goodreads.com/book/show/36381052-not-that-bad?from_choice=true
227,Ijeoma Oluo,4.55,"9,683 ratings","1,713 reviews",So You Want to Talk About Race,https://www.goodreads.com/book/show/35099718-so-you-want-to-talk-about-race?from_choice=true
228,Jordan B. Peterson,3.98,"49,345 ratings","5,173 reviews",12 Rules for Life: An Antidote to Chaos,https://www.goodreads.com/book/show/30257963-12-rules-for-life?from_choice=true
229,Hans Rosling,4.37,"42,844 ratings","4,569 reviews",Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,https://www.goodreads.com/book/show/40933227-factfulness?from_choice=true
230,John Carreyrou,4.48,"74,845 ratings","8,286 reviews",Bad Blood: Secrets and Lies in a Silicon Valley Startup,https://www.goodreads.com/book/show/37976541-bad-blood?from_choice=true
231,Madeleine K. Albright,4.31,"8,422 ratings","1,430 reviews",Fascism: A Warning,https://www.goodreads.com/book/show/35820413-fascism?from_choice=true
232,James Patterson,3.81,"6,953 ratings",606 reviews,"All-American Murder: The Rise and Fall of Aaron Hernandez, the Superstar Whose Life Ended on Murderers' Row",https://www.goodreads.com/book/show/35181833-all-american-murder?from_choice=true
233,Steven Pinker,4.24,"10,720 ratings","1,500 reviews","Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",https://www.goodreads.com/book/show/35696171-enlightenment-now?from_choice=true
234,James Clear,4.33,"19,318 ratings","2,009 reviews",Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,https://www.goodreads.com/book/show/40121378-atomic-habits?from_choice=true
235,Michael Isikoff,4.27,"5,056 ratings",748 reviews,Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump,https://www.goodreads.com/book/show/36222733-russian-roulette?from_choice=true
236,Beth Macy,4.15,"10,441 ratings","1,641 reviews","Dopesick: Dealers, Doctors, and the Drug Company that Addicted America",https://www.goodreads.com/book/show/37486540-dopesick?from_choice=true
237,Kirk Wallace Johnson,4.03,"7,433 ratings","1,226 reviews","The Feather Thief: Beauty, Obsession, and the Natural History Heist of the Century",https://www.goodreads.com/book/show/35901186-the-feather-thief?from_choice=true
238,Nassim Nicholas Taleb,3.85,"8,606 ratings",981 reviews,Skin in the Game: Hidden Asymmetries in Daily Life,https://www.goodreads.com/book/show/36507099-skin-in-the-game?from_choice=true
239,Suzanne Stabile,4.15,"2,007 ratings",233 reviews,The Path Between Us: An Enneagram Journey to Healthy Relationships,https://www.goodreads.com/book/show/36638638-the-path-between-us?from_choice=true
240,Tara Westover,4.49,"290,071 ratings","33,183 reviews",Educated,https://www.goodreads.com/book/show/35133922-educated?from_choice=true
241,Michelle Obama,4.63,"200,667 ratings","24,354 reviews",Becoming,https://www.goodreads.com/book/show/38744839-becoming?from_choice=true
242,Sally Field,3.92,"15,638 ratings","2,025 reviews",In Pieces,https://www.goodreads.com/book/show/38508771-in-pieces?from_choice=true
243,Chrissy Metz,3.98,"9,157 ratings","1,100 reviews",This Is Me: Loving the Person You Are Today,https://www.goodreads.com/book/show/35582344-this-is-me?from_choice=true
244,Masaji Ishikawa,4.26,"27,823 ratings","3,024 reviews",A River in Darkness: One Man's Escape from North Korea,https://www.goodreads.com/book/show/35718164-a-river-in-darkness?from_choice=true
245,Patrisse Khan-Cullors,4.49,"7,024 ratings","1,259 reviews",When They Call You a Terrorist: A Black Lives Matter Memoir,https://www.goodreads.com/book/show/34964998-when-they-call-you-a-terrorist?from_choice=true
246,James Comey,4.20,"31,032 ratings","4,590 reviews","A Higher Loyalty: Truth, Lies, and Leadership",https://www.goodreads.com/book/show/35108805-a-higher-loyalty?from_choice=true
247,Maggie O'Farrell,4.00,"14,116 ratings","2,136 reviews","I Am, I Am, I Am: Seventeen Brushes with Death",https://www.goodreads.com/book/show/35137915-i-am-i-am-i-am?from_choice=true
248,Clemantine Wamariya,4.21,"9,564 ratings","1,399 reviews",The Girl Who Smiled Beads: A Story of War and What Comes After,https://www.goodreads.com/book/show/36086537-the-girl-who-smiled-beads?from_choice=true
249,Kate Bowler,3.76,"17,530 ratings","1,748 reviews",Everything Happens for a Reason: And Other Lies I've Loved,https://www.goodreads.com/book/show/35133923-everything-happens-for-a-reason?from_choice=true
250,Anthony Ray Hinton,4.60,"15,536 ratings","2,697 reviews",The Sun Does Shine: How I Found Life and Freedom on Death Row,https://www.goodreads.com/book/show/34964905-the-sun-does-shine?from_choice=true
251,Terese Marie Mailhot,3.88,"10,498 ratings","1,639 reviews",Heart Berries,https://www.goodreads.com/book/show/35840657-heart-berries?from_choice=true
252,Nicole Chung,3.92,"8,711 ratings","1,254 reviews",All You Can Ever Know: A Memoir,https://www.goodreads.com/book/show/30297153-all-you-can-ever-know?from_choice=true
253,Kelly Corrigan,4.18,"9,050 ratings","1,368 reviews",Tell Me More: Stories about the 12 Hardest Things I'm Learning to Say,https://www.goodreads.com/book/show/35018200-tell-me-more?from_choice=true
254,Lisa Brennan-Jobs,3.85,"10,299 ratings","1,295 reviews",Small Fry,https://www.goodreads.com/book/show/39218044-small-fry?from_choice=true
255,Rose McGowan,3.83,"4,793 ratings",755 reviews,Brave,https://www.goodreads.com/book/show/35068683-brave?from_choice=true
256,Meaghan O'Connell,3.96,"4,126 ratings",630 reviews,And Now We Have Everything: On Motherhood Before I Was Ready,https://www.goodreads.com/book/show/35959678-and-now-we-have-everything?from_choice=true
257,David Lynch,4.30,"1,830 ratings",279 reviews,Room to Dream,https://www.goodreads.com/book/show/35340555-room-to-dream?from_choice=true
258,Adam Cayton-Holland,4.15,827 ratings,133 reviews,Tragedy Plus Time: A Tragi-Comic Memoir,https://www.goodreads.com/book/show/36373407-tragedy-plus-time?from_choice=true
259,Kiese Laymon,4.46,"7,930 ratings","1,354 reviews",Heavy: An American Memoir,https://www.goodreads.com/book/show/29430746-heavy?from_choice=true
260,Maxwell King,4.02,"6,801 ratings","1,506 reviews",The Good Neighbor: The Life and Work of Fred Rogers,https://www.goodreads.com/book/show/38656999-the-good-neighbor?from_choice=true
261,Dave Itzkoff,4.18,"5,928 ratings","1,048 reviews",Robin,https://www.goodreads.com/book/show/37534762-robin?from_choice=true
262,Zora Neale Hurston,4.05,"11,147 ratings","1,841 reviews",Barracoon: The Story of the Last “Black Cargo”,https://www.goodreads.com/book/show/35959199-barracoon?from_choice=true
263,Liz Rosenberg,4.04,953 ratings,239 reviews,House of Dreams: The Life of L. M. Montgomery,https://www.goodreads.com/book/show/36369872-house-of-dreams?from_choice=true
264,Elaine F. Weiss,4.12,"1,040 ratings",275 reviews,The Woman's Hour: The Great Fight to Win the Vote,https://www.goodreads.com/book/show/35743037-the-woman-s-hour?from_choice=true
265,Catherine Kerrison,3.61,"1,139 ratings",260 reviews,"Jefferson's Daughters: Three Sisters, White and Black, in a Young America",https://www.goodreads.com/book/show/34859714-jefferson-s-daughters?from_choice=true
266,Keith O'Brien,3.94,"2,315 ratings",477 reviews,Fly Girls: How Five Daring Women Defied All Odds and Made Aviation History,https://www.goodreads.com/book/show/37488430-fly-girls?from_choice=true
267,Robert Kurson,4.53,"3,569 ratings",590 reviews,Rocket Men: The Daring Odyssey of Apollo 8 and the Astronauts Who Made Man's First Journey to the Moon,https://www.goodreads.com/book/show/35414997-rocket-men?from_choice=true
268,Nathaniel Philbrick,4.06,"1,477 ratings",251 reviews,In the Hurricane's Eye: The Genius of George Washington and the Victory at Yorktown,https://www.goodreads.com/book/show/38363272-in-the-hurricane-s-eye?from_choice=true
269,Dave Eggers,4.00,"9,023 ratings","1,164 reviews",The Monk of Mokha,https://www.goodreads.com/book/show/35342927-the-monk-of-mokha?from_choice=true
270,Doris Kearns Goodwin,4.41,"3,894 ratings",693 reviews,Leadership: In Turbulent Times,https://www.goodreads.com/book/show/38657386-leadership?from_choice=true
271,Dan Abrams,3.90,"2,465 ratings",362 reviews,Lincoln's Last Trial: The Murder Case That Propelled Him to the Presidency,https://www.goodreads.com/book/show/36743867-lincoln-s-last-trial?from_choice=true
272,David Christian,4.06,"2,320 ratings",272 reviews,Origin Story: A Big History of Everything,https://www.goodreads.com/book/show/36204285-origin-story?from_choice=true
273,Jill Lepore,4.41,"1,708 ratings",367 reviews,These Truths: A History of the United States,https://www.goodreads.com/book/show/38212158-these-truths?from_choice=true
274,Ronen Bergman,4.41,"2,219 ratings",243 reviews,Rise and Kill First: The Secret History of Israel's Targeted Assassinations,https://www.goodreads.com/book/show/33598223-rise-and-kill-first?from_choice=true
275,Sam Anderson,4.38,"2,084 ratings",381 reviews,"Boom Town: The Fantastical Saga of Oklahoma City, Its Chaotic Founding, Its Apocalyptic Weather, Its Purloined Basketball Team, and the Dream of Becoming a World-class Metropolis",https://www.goodreads.com/book/show/22318476-boom-town?from_choice=true
276,Lawrence Wright,4.03,"3,036 ratings",486 reviews,God Save Texas: A Journey Into the Soul of the Lone Star State,https://www.goodreads.com/book/show/35457359-god-save-texas?from_choice=true
277,Bill O'Reilly,4.05,"4,542 ratings",588 reviews,Killing the SS: The Hunt for the Worst War Criminals in History,https://www.goodreads.com/book/show/38714362-killing-the-ss?from_choice=true
278,Lynn Vincent,4.48,"2,375 ratings",474 reviews,Indianapolis: The True Story of the Worst Sea Disaster in U.S. Naval History and the Fifty-Year Fight to Exonerate an Innocent Man,https://www.goodreads.com/book/show/36373560-indianapolis?from_choice=true
279,Jon Meacham,4.26,"6,075 ratings","1,189 reviews",The Soul of America: The Battle for Our Better Angels,https://www.goodreads.com/book/show/38525349-the-soul-of-america?from_choice=true
280,Maxwell King,4.02,"6,801 ratings","1,506 reviews",The Good Neighbor: The Life and Work of Fred Rogers,https://www.goodreads.com/book/show/38656999-the-good-neighbor?from_choice=true
281,Dave Itzkoff,4.18,"5,928 ratings","1,048 reviews",Robin,https://www.goodreads.com/book/show/37534762-robin?from_choice=true
282,Zora Neale Hurston,4.05,"11,147 ratings","1,841 reviews",Barracoon: The Story of the Last “Black Cargo”,https://www.goodreads.com/book/show/35959199-barracoon?from_choice=true
283,Liz Rosenberg,4.04,953 ratings,239 reviews,House of Dreams: The Life of L. M. Montgomery,https://www.goodreads.com/book/show/36369872-house-of-dreams?from_choice=true
284,Elaine F. Weiss,4.12,"1,040 ratings",275 reviews,The Woman's Hour: The Great Fight to Win the Vote,https://www.goodreads.com/book/show/35743037-the-woman-s-hour?from_choice=true
285,Catherine Kerrison,3.61,"1,139 ratings",260 reviews,"Jefferson's Daughters: Three Sisters, White and Black, in a Young America",https://www.goodreads.com/book/show/34859714-jefferson-s-daughters?from_choice=true
286,Keith O'Brien,3.94,"2,315 ratings",477 reviews,Fly Girls: How Five Daring Women Defied All Odds and Made Aviation History,https://www.goodreads.com/book/show/37488430-fly-girls?from_choice=true
287,Robert Kurson,4.53,"3,569 ratings",590 reviews,Rocket Men: The Daring Odyssey of Apollo 8 and the Astronauts Who Made Man's First Journey to the Moon,https://www.goodreads.com/book/show/35414997-rocket-men?from_choice=true
288,Nathaniel Philbrick,4.06,"1,477 ratings",251 reviews,In the Hurricane's Eye: The Genius of George Washington and the Victory at Yorktown,https://www.goodreads.com/book/show/38363272-in-the-hurricane-s-eye?from_choice=true
289,Dave Eggers,4.00,"9,023 ratings","1,164 reviews",The Monk of Mokha,https://www.goodreads.com/book/show/35342927-the-monk-of-mokha?from_choice=true
290,Doris Kearns Goodwin,4.41,"3,894 ratings",693 reviews,Leadership: In Turbulent Times,https://www.goodreads.com/book/show/38657386-leadership?from_choice=true
291,Dan Abrams,3.90,"2,465 ratings",362 reviews,Lincoln's Last Trial: The Murder Case That Propelled Him to the Presidency,https://www.goodreads.com/book/show/36743867-lincoln-s-last-trial?from_choice=true
292,David Christian,4.06,"2,320 ratings",272 reviews,Origin Story: A Big History of Everything,https://www.goodreads.com/book/show/36204285-origin-story?from_choice=true
293,Jill Lepore,4.41,"1,708 ratings",367 reviews,These Truths: A History of the United States,https://www.goodreads.com/book/show/38212158-these-truths?from_choice=true
294,Ronen Bergman,4.41,"2,219 ratings",243 reviews,Rise and Kill First: The Secret History of Israel's Targeted Assassinations,https://www.goodreads.com/book/show/33598223-rise-and-kill-first?from_choice=true
295,Sam Anderson,4.38,"2,084 ratings",381 reviews,"Boom Town: The Fantastical Saga of Oklahoma City, Its Chaotic Founding, Its Apocalyptic Weather, Its Purloined Basketball Team, and the Dream of Becoming a World-class Metropolis",https://www.goodreads.com/book/show/22318476-boom-town?from_choice=true
296,Lawrence Wright,4.03,"3,036 ratings",486 reviews,God Save Texas: A Journey Into the Soul of the Lone Star State,https://www.goodreads.com/book/show/35457359-god-save-texas?from_choice=true
297,Bill O'Reilly,4.05,"4,542 ratings",588 reviews,Killing the SS: The Hunt for the Worst War Criminals in History,https://www.goodreads.com/book/show/38714362-killing-the-ss?from_choice=true
298,Lynn Vincent,4.48,"2,375 ratings",474 reviews,Indianapolis: The True Story of the Worst Sea Disaster in U.S. Naval History and the Fifty-Year Fight to Exonerate an Innocent Man,https://www.goodreads.com/book/show/36373560-indianapolis?from_choice=true
299,Jon Meacham,4.26,"6,075 ratings","1,189 reviews",The Soul of America: The Battle for Our Better Angels,https://www.goodreads.com/book/show/38525349-the-soul-of-america?from_choice=true
300,Stephen Brusatte,4.19,"7,222 ratings","1,232 reviews",The Rise and Fall of the Dinosaurs: A New History of a Lost World,https://www.goodreads.com/book/show/35820369-the-rise-and-fall-of-the-dinosaurs?from_choice=true
301,Stephen Hawking,4.32,"12,259 ratings","1,315 reviews",Brief Answers to the Big Questions,https://www.goodreads.com/book/show/40277241-brief-answers-to-the-big-questions?from_choice=true
302,Carl Zimmer,4.16,"1,845 ratings",338 reviews,"She Has Her Mother's Laugh: The Powers, Perversions, and Potential of Heredity",https://www.goodreads.com/book/show/36391536-she-has-her-mother-s-laugh?from_choice=true
303,Claire L. Evans,3.98,941 ratings,169 reviews,Broad Band: The Untold Story of the Women Who Made the Internet,https://www.goodreads.com/book/show/35953464-broad-band?from_choice=true
304,Michael Pollan,4.31,"17,072 ratings","2,188 reviews","How to Change Your Mind: What the New Science of Psychedelics Teaches Us about Consciousness, Dying, Addiction, Depression, and Transcendence",https://www.goodreads.com/book/show/36710811-how-to-change-your-mind?from_choice=true
305,Nick Pyenson,3.76,"1,147 ratings",200 reviews,"Spying on Whales: The Past, Present, and Future of Earth's Most Awesome Creatures",https://www.goodreads.com/book/show/36739330-spying-on-whales?from_choice=true
306,Michio Kaku,4.14,"3,645 ratings",515 reviews,"The Future of Humanity: Terraforming Mars, Interstellar Travel, Immortality, and Our Destiny Beyond Earth",https://www.goodreads.com/book/show/36407347-the-future-of-humanity?from_choice=true
307,Daniel H. Pink,3.78,"12,856 ratings","1,349 reviews",When: The Scientific Secrets of Perfect Timing,https://www.goodreads.com/book/show/35412097-when?from_choice=true
308,Carlo Rovelli,4.08,"6,292 ratings",913 reviews,The Order of Time,https://www.goodreads.com/book/show/36442813-the-order-of-time?from_choice=true
309,Neil deGrasse Tyson,3.57,"1,722 ratings",263 reviews,Accessory to War: The Unspoken Alliance Between Astrophysics and the Military,https://www.goodreads.com/book/show/38589832-accessory-to-war?from_choice=true
310,Adam Becker,4.26,867 ratings,147 reviews,What Is Real?: The Unfinished Quest for the Meaning of Quantum Physics,https://www.goodreads.com/book/show/35604796-what-is-real?from_choice=true
311,Christian Davenport,4.20,"1,355 ratings",158 reviews,"The Space Barons: Elon Musk, Jeff Bezos, and the Quest to Colonize the Cosmos",https://www.goodreads.com/book/show/36205015-the-space-barons?from_choice=true
312,Justin McElroy,4.05,"1,147 ratings",232 reviews,"The Sawbones Book: The Hilarious, Horrifying Road to Modern Medicine",https://www.goodreads.com/book/show/38749668-the-sawbones-book?from_choice=true
313,Sabine Hossenfelder,4.09,675 ratings,155 reviews,Lost in Math: How Beauty Leads Physics Astray,https://www.goodreads.com/book/show/36341728-lost-in-math?from_choice=true
314,Lucy Jones,4.14,625 ratings,123 reviews,The Big Ones: How Natural Disasters Have Shaped Us (and What We Can Do about Them),https://www.goodreads.com/book/show/35876360-the-big-ones?from_choice=true
315,Ryan North,4.15,"1,228 ratings",243 reviews,How to Invent Everything: A Survival Guide for the Stranded Time Traveler,https://www.goodreads.com/book/show/39026990-how-to-invent-everything?from_choice=true
316,Varun Sivaram,4.12,173 ratings,26 reviews,Taming the Sun: Innovations to Harness Solar Energy and Power the Planet,https://www.goodreads.com/book/show/36722606-taming-the-sun?from_choice=true
317,David Reich,4.19,"1,552 ratings",283 reviews,Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,https://www.goodreads.com/book/show/35749414-who-we-are-and-how-we-got-here?from_choice=true
318,Safiya Umoja Noble,3.97,714 ratings,136 reviews,Algorithms of Oppression: How Search Engines Reinforce Racism,https://www.goodreads.com/book/show/34762552-algorithms-of-oppression?from_choice=true
319,David Quammen,3.96,"1,340 ratings",301 reviews,The Tangled Tree: A Radical New History of Life,https://www.goodreads.com/book/show/36373639-the-tangled-tree?from_choice=true
320,Chrissy Teigen,4.24,"2,861 ratings",251 reviews,Cravings: Hungry for More,https://www.goodreads.com/book/show/40004097-cravings?from_choice=true
321,Joanna Gaines,4.28,"2,717 ratings",325 reviews,Magnolia Table: A Collection of Recipes for Gathering,https://www.goodreads.com/book/show/36381100-magnolia-table?from_choice=true
322,Tasty,3.81,669 ratings,63 reviews,Tasty Latest and Greatest: Everything You Want to Cook Right Now (an Official Tasty Cookbook),https://www.goodreads.com/book/show/36627287-tasty-latest-and-greatest?from_choice=true
323,Alison Walsh,3.75,467 ratings,162 reviews,"A Literary Tea Party: Blends and Treats for Alice, Bilbo, Dorothy, Jo, and Book Lovers Everywhere",https://www.goodreads.com/book/show/35804613-a-literary-tea-party?from_choice=true
324,Ina Garten,3.98,863 ratings,90 reviews,Cook Like a Pro: Recipes and Tips for Home Cooks,https://www.goodreads.com/book/show/40006421-cook-like-a-pro?from_choice=true
325,Tim Federle,3.76,90 ratings,22 reviews,"Are You There God? It's Me, Margarita: More Cocktails with a Literary Twist",https://www.goodreads.com/book/show/38502290-are-you-there-god-it-s-me-margarita?from_choice=true
326,Lauren Toyota,4.29,467 ratings,50 reviews,Hot for Food Vegan Comfort Classics: 101 Recipes to Feed Your Face,https://www.goodreads.com/book/show/35306053-hot-for-food-vegan-comfort-classics?from_choice=true
327,Heather Kim,4.21,285 ratings,187 reviews,Sweet Revenge: Passive-Aggressive Desserts for Your Exes & Enemies,https://www.goodreads.com/book/show/36001408-sweet-revenge?from_choice=true
328,Giada De Laurentiis,3.80,273 ratings,27 reviews,Giada's Italy: My Recipes for La Dolce Vita,https://www.goodreads.com/book/show/35741051-giada-s-italy?from_choice=true
329,Gaz Oakley,4.19,304 ratings,32 reviews,Vegan 100: Over 100 Incredible Recipes from Avant-Garde Vegan,https://www.goodreads.com/book/show/35398011-vegan-100?from_choice=true
330,Bobby Flay,3.59,270 ratings,30 reviews,Bobby Flay Fit: 200 Recipes for a Healthy Lifestyle,https://www.goodreads.com/book/show/33656178-bobby-flay-fit?from_choice=true
331,Rosanna Pansino,4.10,192 ratings,19 reviews,Baking All Year Round: Holidays & Special Occasions,https://www.goodreads.com/book/show/38532190-baking-all-year-round?from_choice=true
332,Daniel Stone,4.04,"1,134 ratings",218 reviews,The Food Explorer: The True Adventures of the Globe-Trotting Botanist Who Transformed What America Eats,https://www.goodreads.com/book/show/35342935-the-food-explorer?from_choice=true
333,Edward Lee,4.04,765 ratings,124 reviews,Buttermilk Graffiti: A Chef’s Journey to Discover America’s New Melting-Pot Cuisine,https://www.goodreads.com/book/show/35592077-buttermilk-graffiti?from_choice=true
334,Gina Homolka,4.24,691 ratings,61 reviews,"Skinnytaste One and Done: 140 No-Fuss Dinners for Your Instant Pot®, Slow Cooker, Air Fryer, Sheet Pan, Skillet, Dutch Oven, and More: 140 No-Fuss Dinners Sheet Pan, Skillet, Dutch Oven, and More",https://www.goodreads.com/book/show/38121211-skinnytaste-one-and-done?from_choice=true
335,Yotam Ottolenghi,4.28,940 ratings,77 reviews,Ottolenghi Simple: A Cookbook,https://www.goodreads.com/book/show/39797678-ottolenghi-simple?from_choice=true
336,Mark Kurlansky,3.51,588 ratings,149 reviews,"Milk!: A 10,000-Year Food Fracas",https://www.goodreads.com/book/show/36711236-milk?from_choice=true
337,Camas Davis,3.77,438 ratings,82 reviews,Killing It: An Education,https://www.goodreads.com/book/show/36856216-killing-it?from_choice=true
338,Jonathan Kauffman,3.88,482 ratings,99 reviews,"Hippie Food: How Back-to-the-Landers, Longhairs, and Revolutionaries Changed the Way We Eat",https://www.goodreads.com/book/show/34017050-hippie-food?from_choice=true
339,Julia Turshen,3.91,179 ratings,30 reviews,"Now & Again: Go-To Recipes, Inspired Menus + Endless Ideas for Reinventing Leftovers",https://www.goodreads.com/book/show/37826508-now-again?from_choice=true
340,Sarah Andersen,4.20,"10,515 ratings","1,857 reviews",Herding Cats,https://www.goodreads.com/book/show/35924705-herding-cats?from_choice=true
341,Catana Chetwynd,4.29,"4,437 ratings",638 reviews,Little Moments of Love,https://www.goodreads.com/book/show/36374390-little-moments-of-love?from_choice=true
