,author,mean_rating,num_ratings,num_reviews,title,url
41,Heather Morris,4.28,"169,682 ratings","15,455 reviews",The Tattooist of Auschwitz,https://www.goodreads.com/book/show/37486222-the-tattooist-of-auschwitz?from_choice=true
42,Chloe Benjamin,3.73,"88,466 ratings","10,322 reviews",The Immortalists,https://www.goodreads.com/book/show/30288282-the-immortalists?from_choice=true
43,Kate Morton,3.75,"34,477 ratings","5,897 reviews",The Clockmaker's Daughter,https://www.goodreads.com/book/show/38530939-the-clockmaker-s-daughter?from_choice=true
44,Delia Owens,4.53,"202,579 ratings","24,007 reviews",Where the Crawdads Sing,https://www.goodreads.com/book/show/37703550-where-the-crawdads-sing?from_choice=true
45,Chanel Cleeton,3.98,"30,128 ratings","3,854 reviews",Next Year in Havana,https://www.goodreads.com/book/show/34374628-next-year-in-havana?from_choice=true
46,Zeyn Joukhadar,3.89,"5,547 ratings","1,057 reviews",The Map of Salt and Stars,https://www.goodreads.com/book/show/36373417-the-map-of-salt-and-stars?from_choice=true
47,Kate Atkinson,3.53,"24,348 ratings","3,747 reviews",Transcription,https://www.goodreads.com/book/show/37946414-transcription?from_choice=true
48,Michael Ondaatje,3.67,"22,593 ratings","3,330 reviews",Warlight,https://www.goodreads.com/book/show/36723246-warlight?from_choice=true
49,Beatriz Williams,3.73,"20,999 ratings","2,318 reviews",The Summer Wives,https://www.goodreads.com/book/show/36381085-the-summer-wives?from_choice=true
50,Stephanie Dray,4.28,"14,029 ratings","2,064 reviews",My Dear Hamilton,https://www.goodreads.com/book/show/35397026-my-dear-hamilton?from_choice=true
51,Barbara Kingsolver,3.63,"22,156 ratings","3,708 reviews",Unsheltered,https://www.goodreads.com/book/show/38236861-unsheltered?from_choice=true
52,Rhys Bowen,3.97,"45,488 ratings","2,616 reviews",The Tuscan Child,https://www.goodreads.com/book/show/36097619-the-tuscan-child?from_choice=true
53,Ingrid Rojas Contreras,3.95,"6,478 ratings",989 reviews,Fruit of the Drunken Tree,https://www.goodreads.com/book/show/36636727-fruit-of-the-drunken-tree?from_choice=true
54,Paula McLain,3.84,"15,739 ratings","2,029 reviews",Love and Ruin,https://www.goodreads.com/book/show/36614133-love-and-ruin?from_choice=true
55,Eoin Dempsey,4.12,"27,688 ratings","1,888 reviews","White Rose, Black Forest",https://www.goodreads.com/book/show/35889209-white-rose-black-forest?from_choice=true
56,Bernard Cornwell,4.34,"4,634 ratings",429 reviews,War of the Wolf,https://www.goodreads.com/book/show/37946116-war-of-the-wolf?from_choice=true
57,Susanna Kearsley,3.95,"6,081 ratings","1,116 reviews",Bellewether,https://www.goodreads.com/book/show/39828805-bellewether?from_choice=true
58,Robert Dugoni,4.36,"26,187 ratings","2,794 reviews",The Extraordinary Life of Sam Hell,https://www.goodreads.com/book/show/35995489-the-extraordinary-life-of-sam-hell?from_choice=true
59,Rebecca Makkai,4.25,"19,777 ratings","2,773 reviews",The Great Believers,https://www.goodreads.com/book/show/36739329-the-great-believers?from_choice=true
